Do you think Heads Up Display is useful?,Why do you think it is useful or why you don't like it?,Which features you have in your current vehicle(s)?,"Where would you prefer the projector to be?
A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,
B: The projector and the screen are integrated and seat at the top of the dashboard.","If there is a HUD device that also includes the top 4 features you selected above, what is your maximum acceptable price? (Price in USD, before tax)","If you would purchase the product from the previous question, would you rather:",one-part-machine vs add-on,"If you want new features on your car, what would you do?","Some features may need extra wiring throughout the car, how much extra would you like to pay to make them wireless.","If the product were priced according to your expectations and can be purchased through your desired channel,  how likely would you be to purchase the Heads UP Display (HUD)?",What is the model and year of your car?,Which city do you live in?,Which of the following best describes where you live?,What is your gender?,May I have your age range?,What is your field of occupation?,"If you don't mind, what is your annual income range?","How long do you spend on driving every day, pre-COVID-19?",A,B,C,D,E,F,G,H,I,J,Heads Up Display,Dashcam,Backup Camera,360° Backup Camera,Forward Collision Warning System,Voice Recognition,CarPlay/Android Auto,Blind Spot Check,Steering Wheel Controller,"No, I have no interest",Amazon/eBay,Canadian Tire,Costco,Bestbuy,Walmart/Target,Mr. Lube,Others(Q9),I use my car for routine transportation,I use my car to pick up/drop off my kid(s),"I like to drive around and explore new areas (e.g., restaurants)",I often use my car to go on road trips,My car is for professional use (I drive Uber or Lyft),Others(Q19)
Yes,"I think it is useful because I would not have to take my eyes off the road to look down at the dashboard to look at my speedometer, speed limit, or directions.","""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 400 - USD $ 499,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would definitely purchase the HUD,2019 Acura RDX A-Spec,Mississauga,I live in a suburb area,Female,20 - 25 years old,Student,Prefer not to say,Less than 30 minutes per day,0,30,0,20,40,0,0,10,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
No,None,"""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,"No, I wouldn't buy it",Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,"I don't want any new features, cars should be kept simple",I'm fine if it is not messy,I would definitely not purchase the HUD,2003,Windsor,I live in a downtown area,Male,younger than 20 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,30,0,20,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,It think it would be useful to display information such as speed limit and navigation.,"""Dashcam""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I might or might not purchase the HUD,2007 Honda Accord,Mississauga,I live in a suburb area,Male,younger than 20 years old,Student,"Less than $20,000",Less than 30 minutes per day,60,0,10,10,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Maybe,could be distracting and drivers will look at that instead of paying attention to the road,"""Built-in Navigation"",""360° Backup Camera"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably purchase the HUD,Mazda 3 2016,Brampton,I live in a suburb area,Female,20 - 25 years old,Student,Prefer not to say,Less than 30 minutes per day,0,0,0,40,0,30,0,0,15,15,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Yes,Provides important information for the driver without the driver having to divert their gaze from the road.,"""Backup Camera"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and visit car body shop to install it,I'm fine if it is not messy,I would probably not purchase the HUD,2017 VW Jetta,Brampton,I live in a suburb area,Male,20 - 25 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,0,50,0,15,0,30,0,0,0,5,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0
Yes,It would be a lot easier than taking your eyes off the road to check your speed.,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 25 - $ 49 USD,I might or might not purchase the HUD,2014 Ford Edge,"Hartford, CT",I live in a downtown area,Female,younger than 20 years old,Student,"$60,000 to $79,999",30 minutes - 59 minutes per day,28,0,0,70,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Yes,It let's you see your speed and rpm without having to look down,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,$ 75 - $ 100 USD,I would probably purchase the HUD,2002 VW Jetta VR6,Waterloo,I live in a suburb area,Male,20 - 25 years old,Environmental,"$20,000 to $39,999",30 minutes - 59 minutes per day,50,10,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Yes,Minimizes distractions and keeps eyes on the road at all times,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 600 - USD $ 699,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 75 - $ 100 USD,I would probably not purchase the HUD,Mazda Cx5 2018,Portland oregon,I live in a suburb area,Female,26 -  30 years old,"Marketing, Sales and Service","$60,000 to $79,999",30 minutes - 59 minutes per day,30,0,0,30,0,20,0,0,20,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
Maybe,"Allows the driver to keep their eyes on the road, however the time spent looking at a speedometer or navigation display is quite small so isn't really that big of an annoyance",None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,2008,Burlington,I live in a suburb area,Male,20 - 25 years old,Student,"$20,000 to $39,999",Less than 30 minutes per day,0,0,0,20,10,0,0,60,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,it's easier to look at GPS through a hud than a phone,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and visit car body shop to install it,$ 50 - $ 74 USD,I would probably purchase the HUD,2018,Toronto,I live in a suburb area,Prefer not to say,41 - 45 years old,Business Management and Administration,Prefer not to say,Less than 30 minutes per day,25,25,25,0,0,25,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Yes,"I can see pertinent indormation, such as speed or navigation directions, without taking my eyes from the road to look down at a screen","""Built-in Navigation"",""Heads Up Display"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I have all features on my current car,$ 75 - $ 100 USD,I might or might not purchase the HUD,Mazda CX-5 GT 2019,Burbank,I live in a suburb area,Male,46 - 50 years old,"Arts, Audio/Video Technology and Communications","Over $100,000",30 minutes - 59 minutes per day,40,40,0,0,10,0,0,0,10,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Eyes dont have to leave the road for things like speed.,"""Dashcam""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I might or might not purchase the HUD,2007 Jetta,Halifax,I live in a suburb area,Male,younger than 20 years old,Government and Public Administration,"Less than $20,000",30 minutes - 59 minutes per day,0,0,0,60,0,5,0,20,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,"It allows to driver to focus on the road while getting useful information like navigation, speed etc.","""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,Under $ 25 USD,I might or might not purchase the HUD,2016 Honda Pilot,Calgary,I live in a downtown area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics",Prefer not to say,None,10,0,0,20,0,60,0,0,10,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0
Yes,At night only to limit distraction,"""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and visit car body shop to install it,$ 75 - $ 100 USD,I might or might not purchase the HUD,Saab 2007,Toronto,I live in a downtown area,Male,36 - 40 years old,"Marketing, Sales and Service","$80,000 to $99,999",Less than 30 minutes per day,0,50,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Yes,Keeps eyes on road,"""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,Under $ 25 USD,I would definitely not purchase the HUD,2010 Pontiac G6,Minneapolis,I live in a suburb area,Female,younger than 20 years old,Student,Prefer not to say,Less than 30 minutes per day,0,20,40,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Yes,looks cool,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and visit car body shop to install it,I'm fine if it is not messy,I might or might not purchase the HUD,prius 2018,toronto,I live in a downtown area,Male,younger than 20 years old,"Science, Technology, Engineering and Mathematics",Prefer not to say,Less than 30 minutes per day,0,0,10,0,19,0,1,0,70,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,because i dont have to pull my eyes off the road and look down to see what speed im going/see my rpms,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 400 - USD $ 499,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,Above $ 100 USD,I would probably purchase the HUD,2020 BMW 330i,Kitchener,I live in a suburb area,Male,20 - 25 years old,Health Science,"Less than $20,000",30 minutes - 59 minutes per day,0,20,20,0,0,0,0,30,30,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Yes,It’s all the information closer to your eyes and you hardly have to look away from the road.,"""Built-in Navigation"",""Backup Camera"",""CarPlay/Android Auto""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,I don't care about wiring,I would probably purchase the HUD,None,None,I live in a suburb area,Male,None,None,None,Longer than 2 hours per day,30,60,1,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
Yes,Don’t have to take eyes off the road. Looks cool and is futuristic,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I have all features on my current car,$ 50 - $ 74 USD,I might or might not purchase the HUD,2014 Lexus IS 350 F sport,McHenry,I live in a suburb area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",1 hour - 2 hours per day,0,0,0,25,0,0,0,25,25,25,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Maybe,Easier to see,"""Built-in Navigation"",""Backup Camera"",""360° Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably not purchase the HUD,Audi A4,Toronto,I live in a downtown area,Male,20 - 25 years old,Finance,"Over $100,000",Less than 30 minutes per day,0,0,25,0,25,0,0,25,25,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0
Yes,It helps me to stay focused on the road while keeping an eye on my speed and my navigation.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,"No, I wouldn't buy it",None,None,I have all features on my current car,$ 25 - $ 49 USD,I might or might not purchase the HUD,BMW x3 2017,Toronto,I live in a downtown area,Female,26 -  30 years old,"Arts, Audio/Video Technology and Communications",None,Less than 30 minutes per day,0,0,0,0,40,0,0,30,15,15,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Yes,Provides me detailed info that is essential while driving without having to look elsewhere,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and visit car body shop to install it,$ 50 - $ 74 USD,I would definitely purchase the HUD,2018,Toronto,I live in a suburb area,Male,36 - 40 years old,Business Management and Administration,"Over $100,000",Longer than 2 hours per day,25,25,0,25,0,0,0,0,25,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
No,"It's good for reminding about the speed , but it may distract you for a while and this is not good, and I think it goes on your nerve after couple of minutes , unless you can on and off it","""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 700 - USD $ 799,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,Above $ 100 USD,I might or might not purchase the HUD,BMW X4 2016,Toronto,I live in Northyork,Female,Older than 60 years old,Real estate broker,"$80,000 to $99,999",Longer than 2 hours per day,0,0,0,0,0,98,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Yes,Because you don't have to look down,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,I might or might not purchase the HUD,Lincoln 2013,Toronto,I live in a suburb area,Male,56 - 60 years old,Information Techonology,"Over $100,000",Less than 30 minutes per day,40,0,0,0,20,0,0,0,20,20,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Maybe,it may distract driver.,"""Built-in Navigation"",""Backup Camera""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 75 - $ 100 USD,I would probably not purchase the HUD,"civic, 2015",toronto,I live in a suburb area,Female,46 - 50 years old,Health Science,"$40,000 to $59,999",Less than 30 minutes per day,0,0,0,20,40,0,10,0,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Maybe,I haven’t seen one with a good tachometer display. I only drive manuals.,"""Built-in Navigation"",""Backup Camera"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,2018 Ford Focus ST,Kitchener,I live in a suburb area,Male,26 -  30 years old,"Science, Technology, Engineering and Mathematics","$60,000 to $79,999",Longer than 2 hours per day,30,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Yes,"Instead of looking away at the road to check speed, you can check the hud making it safer","""Heads Up Display"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Blind Spot Check""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,I'm fine if it is not messy,I would probably purchase the HUD,Aspin 201x,Brampton,I live in a suburb area,Male,younger than 20 years old,"Science, Technology, Engineering and Mathematics","Less than $20,000",Less than 30 minutes per day,5,0,5,60,0,30,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
